"StationName","StationLocation","DateTime","RecordId","RoadSurfaceTemperature","AirTemperature"
"SpokaneSwingBridge","POINT (-122.351743 47.571389)","2026 Apr 15 08:21:00 AM","5285777","42.47","42.80"
"SpokaneSwingBridge","POINT (-122.351743 47.571389)","2026 Apr 15 08:22:00 AM","5285778","42.47","42.79"
"SpokaneSwingBridge","POINT (-122.351743 47.571389)","2026 Apr 15 08:23:00 AM","5285779","42.48","42.81"
"SpokaneSwingBridge","POINT (-122.351743 47.571389)","2026 Apr 15 08:24:00 AM","5285780","42.48","42.79"
"SpokaneSwingBridge","POINT (-122.351743 47.571389)","2026 Apr 15 08:25:00 AM","5285781","42.49","42.72"
"SpokaneSwingBridge","POINT (-122.351743 47.571389)","2026 Apr 15 08:26:00 AM","5285782","42.50","42.61"
"SpokaneSwingBridge","POINT (-122.351743 47.571389)","2026 Apr 15 08:27:00 AM","5285783","42.50","42.57"
"SpokaneSwingBridge","POINT (-122.351743 47.571389)","2026 Apr 15 08:28:00 AM","5285784","42.50","42.44"
"SpokaneSwingBridge","POINT (-122.351743 47.571389)","2026 Apr 15 08:29:00 AM","5285785","42.51","42.46"
"SpokaneSwingBridge","POINT (-122.351743 47.571389)","2026 Apr 15 08:30:00 AM","5285786","42.52","42.51"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 08:16:00 AM","7011670","41.77","40.91"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 08:17:00 AM","7011671","41.78","40.86"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 08:18:00 AM","7011672","41.78","40.79"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 08:19:00 AM","7011673","41.77","40.74"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 08:20:00 AM","7011674","41.77","40.65"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 08:21:00 AM","7011675","41.78","40.62"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 08:22:00 AM","7011676","41.78","40.56"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 08:23:00 AM","7011677","41.80","40.41"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 08:24:00 AM","7011678","41.81","40.32"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 08:25:00 AM","7011679","41.81","40.25"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 08:26:00 AM","7011680","41.81","40.21"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 08:27:00 AM","7011681","41.81","40.14"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 08:28:00 AM","7011682","41.81","40.13"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 08:29:00 AM","7011683","41.81","40.13"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 08:30:00 AM","7011684","41.81","40.09"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 08:16:00 AM","6585702","45.63","41.09"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 08:17:00 AM","6585703","45.62","40.96"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 08:18:00 AM","6585704","45.62","40.85"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 08:19:00 AM","6585705","45.61","40.52"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 08:20:00 AM","6585706","45.61","40.29"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 08:21:00 AM","6585707","45.61","40.22"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 08:22:00 AM","6585708","45.60","40.14"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 08:23:00 AM","6585709","45.60","40.05"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 08:24:00 AM","6585710","45.60","39.86"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 08:25:00 AM","6585711","45.60","39.76"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 08:26:00 AM","6585712","45.60","39.61"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 08:27:00 AM","6585713","45.60","39.51"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 08:28:00 AM","6585714","45.60","39.44"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 08:29:00 AM","6585715","45.60","39.67"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 08:30:00 AM","6585716","45.60","39.69"
"RooseveltWay_NE80thSt","POINT (-122.31765 47.692098)","2026 Apr 15 10:16:00 AM","7030783","44.95","44.95"
"RooseveltWay_NE80thSt","POINT (-122.31765 47.692098)","2026 Apr 15 10:17:00 AM","7030784","44.93","44.93"
"RooseveltWay_NE80thSt","POINT (-122.31765 47.692098)","2026 Apr 15 10:18:00 AM","7030785","44.90","44.90"
"RooseveltWay_NE80thSt","POINT (-122.31765 47.692098)","2026 Apr 15 10:19:00 AM","7030786","44.88","44.88"
"RooseveltWay_NE80thSt","POINT (-122.31765 47.692098)","2026 Apr 15 10:20:00 AM","7030787","44.87","44.87"
"RooseveltWay_NE80thSt","POINT (-122.31765 47.692098)","2026 Apr 15 10:21:00 AM","7030788","44.85","44.85"
"RooseveltWay_NE80thSt","POINT (-122.31765 47.692098)","2026 Apr 15 10:22:00 AM","7030789","44.84","44.84"
"RooseveltWay_NE80thSt","POINT (-122.31765 47.692098)","2026 Apr 15 10:23:00 AM","7030790","44.85","44.85"
"RooseveltWay_NE80thSt","POINT (-122.31765 47.692098)","2026 Apr 15 10:24:00 AM","7030791","44.86","44.86"
"RooseveltWay_NE80thSt","POINT (-122.31765 47.692098)","2026 Apr 15 10:25:00 AM","7030792","44.86","44.86"
